LayerName,FilterType,typeCode,TypeCodeDescription,LayerDescription,ProjectionDate,RCP,Correlated
clim.gd4550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter GD RCP45 2050,2050,45,yes
clim.gd4550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month GD RCP45 2050,2050,45,yes
clim.gd4550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month GD RCP45 2050,2050,45,yes
clim.gd4550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter GD RCP45 2050,2050,45,yes
clim.gd4550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter GD RCP45 2050,2050,45,yes
clim.gd4550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter GD RCP45 2050,2050,45,yes
clim.gd4550.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GD RCP45 2050,2050,45,yes
clim.gd4550.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GD RCP45 2050,2050,45,yes
clim.gd4550.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GD RCP45 2050,2050,45,yes
clim.gd4550.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GD RCP45 2050,2050,45,yes
clim.gd4550.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GD RCP45 2050,2050,45,yes
clim.gd4550.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GD RCP45 2050,2050,45,yes
clim.gd4570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter GD RCP45 2070,2070,45,yes
clim.gd4570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter GD RCP45 2070,2070,45,yes
clim.gd4570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month GD RCP45 2070,2070,45,yes
clim.gd4570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month GD RCP45 2070,2070,45,yes
clim.gd4570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter GD RCP45 2070,2070,45,yes
clim.gd4570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter GD RCP45 2070,2070,45,yes
clim.gd4570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter GD RCP45 2070,2070,45,yes
clim.gd4570.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GD RCP45 2070,2070,45,yes
clim.gd4570.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GD RCP45 2070,2070,45,yes
clim.gd4570.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GD RCP45 2070,2070,45,yes
clim.gd4570.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GD RCP45 2070,2070,45,yes
clim.gd4570.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GD RCP45 2070,2070,45,yes
clim.gd4570.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GD RCP45 2070,2070,45,yes
clim.ggs4550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter GS RCP45 2050,2050,45,yes
clim.ggs4550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter GS RCP45 2050,2050,45,yes
clim.ggs4550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month GS RCP45 2050,2050,45,yes
clim.ggs4550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month GS RCP45 2050,2050,45,yes
clim.ggs4550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter GS RCP45 2050,2050,45,yes
clim.ggs4550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter GS RCP45 2050,2050,45,yes
clim.ggs4550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter GS RCP45 2050,2050,45,yes
clim.ggs4550.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GS RCP45 2050,2050,45,yes
clim.ggs4550.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GS RCP45 2050,2050,45,yes
clim.ggs4550.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GS RCP45 2050,2050,45,yes
clim.ggs4550.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GS RCP45 2050,2050,45,yes
clim.ggs4550.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GS RCP45 2050,2050,45,yes
clim.ggs4550.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GS RCP45 2050,2050,45,yes
clim.gs4570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter GS RCP45 2070,2070,45,yes
clim.gs4570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter GS RCP45 2070,2070,45,yes
clim.gs4570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month GS RCP45 2070,2070,45,yes
clim.gs4570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month GS RCP45 2070,2070,45,yes
clim.gs4570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter GS RCP45 2070,2070,45,yes
clim.gs4570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter GS RCP45 2070,2070,45,yes
clim.gs4570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter GS RCP45 2070,2070,45,yes
clim.gs4570.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) GS RCP45 2070,2070,45,yes
clim.gs4570.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GS RCP45 2070,2070,45,yes
clim.gs4570.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GS RCP45 2070,2070,45,yes
clim.gs4570.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GS RCP45 2070,2070,45,yes
clim.gs4570.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GS RCP45 2070,2070,45,yes
clim.gs4570.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GS RCP45 2070,2070,45,yes
clim.he2650.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP26 2050,2050,26,yes
clim.he2650.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP26 2050,2050,26,yes
clim.he2650.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP26 2050,2050,26,yes
clim.he2650.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP26 2050,2050,26,yes
clim.he2650.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP26 2050,2050,26,yes
clim.he2650.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP26 2050,2050,26,yes
clim.he2650.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP26 2050,2050,26,yes
clim.he2650.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP26 2050,2050,26,yes
clim.he2650.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP26 2050,2050,26,yes
clim.he2650.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP26 2050,2050,26,yes
clim.he2650.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP26 2050,2050,26,yes
clim.he2650.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP26 2050,2050,26,yes
clim.he2650.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP26 2050,2050,26,yes
clim.he2670.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP26 2070,2070,26,yes
clim.he2670.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP26 2070,2070,26,yes
clim.he2670.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP26 2070,2070,26,yes
clim.he2670.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP26 2070,2070,26,yes
clim.he2670.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP26 2070,2070,26,yes
clim.he2670.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP26 2070,2070,26,yes
clim.he2670.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP26 2070,2070,26,yes
clim.he2670.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP26 2070,2070,26,yes
clim.he2670.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP26 2070,2070,26,yes
clim.he2670.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP26 2070,2070,26,yes
clim.he2670.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP26 2070,2070,26,yes
clim.he2670.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP26 2070,2070,26,yes
clim.he2670.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP26 2070,2070,26,yes
clim.hhe4550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP45 2050,2050,45,yes
clim.hhe4550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP45 2050,2050,45,yes
clim.hhe4550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4550.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP45 2050,2050,45,yes
clim.hhe4550.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP45 2050,2050,45,yes
clim.hhe4550.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP45 2050,2050,45,yes
clim.hhe4550.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP45 2050,2050,45,yes
clim.hhe4550.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP45 2050,2050,45,yes
clim.hhe4550.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP45 2070,2070,45,yes
clim.hhe4570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP45 2070,2070,45,yes
clim.hhe4570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP45 2070,2070,45,yes
clim.hhe4570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP45 2070,2070,45,yes
clim.hhe4570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP45 2070,2070,45,yes
clim.hhe4570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP45 2070,2070,45,yes
clim.hhe4570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP45 2070,2070,45,yes
clim.hhe4570.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP45 2070,2070,45,yes
clim.hhe4570.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP45 2070,2070,45,yes
clim.hhe4570.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP45 2070,2070,45,yes
clim.hhe4570.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP45 2070,2070,45,yes
clim.hhe4570.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP45 2070,2070,45,yes
clim.hhe4570.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP45 2070,2070,45,yes
clim.he6050.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP60 2050,2050,60,yes
clim.he6050.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP60 2050,2050,60,yes
clim.he6050.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP60 2050,2050,60,yes
clim.he6050.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP60 2050,2050,60,yes
clim.he6050.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP60 2050,2050,60,yes
clim.he6050.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP60 2050,2050,60,yes
clim.he6050.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP60 2050,2050,60,yes
clim.he6050.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP60 2050,2050,60,yes
clim.he6050.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP60 2050,2050,60,yes
clim.he6050.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP60 2050,2050,60,yes
clim.he6050.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP60 2050,2050,60,yes
clim.he6050.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP60 2050,2050,60,yes
clim.he6050.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP60 2050,2050,60,yes
clim.he6070.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP60 2070,2070,60,yes
clim.he6070.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP60 2070,2070,60,yes
clim.he6070.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP60 2070,2070,60,yes
clim.he6070.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP60 2070,2070,60,yes
clim.he6070.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP60 2070,2070,60,yes
clim.he6070.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP60 2070,2070,60,yes
clim.he6070.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP60 2070,2070,60,yes
clim.he6070.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP60 2070,2070,60,yes
clim.he6070.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP60 2070,2070,60,yes
clim.he6070.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP60 2070,2070,60,yes
clim.he6070.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP60 2070,2070,60,yes
clim.he6070.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP60 2070,2070,60,yes
clim.he6070.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP60 2070,2070,60,yes
clim.he8550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP85 2050,2050,85,yes
clim.he8550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP85 2050,2050,85,yes
clim.he8550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP85 2050,2050,85,yes
clim.he8550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP85 2050,2050,85,yes
clim.he8550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP85 2050,2050,85,yes
clim.he8550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP85 2050,2050,85,yes
clim.he8550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP85 2050,2050,85,yes
clim.he8550.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP85 2050,2050,85,yes
clim.he8550.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP85 2050,2050,85,yes
clim.he8550.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP85 2050,2050,85,yes
clim.he8550.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP85 2050,2050,85,yes
clim.he8550.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP85 2050,2050,85,yes
clim.he8550.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP85 2050,2050,85,yes
clim.he8570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP85 2070,2070,85,yes
clim.he8570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP85 2070,2070,85,yes
clim.he8570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP85 2070,2070,85,yes
clim.he8570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP85 2070,2070,85,yes
clim.he8570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP85 2070,2070,85,yes
clim.he8570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP85 2070,2070,85,yes
clim.he8570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP85 2070,2070,85,yes
clim.he8570.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP85 2070,2070,85,yes
clim.he8570.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP85 2070,2070,85,yes
clim.he8570.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP85 2070,2070,85,yes
clim.he8570.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP85 2070,2070,85,yes
clim.he8570.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP85 2070,2070,85,yes
clim.he8570.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP85 2070,2070,85,yes
env.gmted2010.elev_mean,environmental,elev_mean,USGS GMTED2010 Mean Elevation,USGS GMTED2010 Mean Elevation,current,current,no
env.hwsd.t_clay,environmental,t_clay,HWSD topsoil clay,Harmonized World Soil Database topsoil clay (% frac.),current,current,no
env.hwsd.t_ece,environmental,t_ece,HWSD topsoil ECE,Harmonized World Soil Database topsoil ECE (salinity dS/m),current,current,no
env.hwsd.t_gravel,environmental,t_gravel,HWSD topsoil gravel,Harmonized World Soil Database topsoil gravel (% vol.),current,current,no
env.hwsd.t_oc,environmental,t_oc,HWSD topsoil oc,Harmonized World Soil Database topsoil organic carbon (% weight),current,current,no
env.hwsd.t_ph,environmental,t_ph,HWSD topsoil pH,Harmonized World Soil Database topsoil pH (log[H+]),current,current,no
env.hwsd.t_sand,environmental,t_sand,HWSD topsoil sand,Harmonized World Soil Database topsoil sand (% frac.),current,current,no
env.hwsd.t_silt,environmental,t_silt,HWSD topsoil silt,Harmonized World Soil Database topsoil silt (% frac.),current,current,no
env.hwsd.t_caco3,environmental,t_caco3,HWSD topsoil CACO3,Harmonized World Soil Database topsoil CACO3 (% weight),current,current,yes
env.hwsd.t_caso4,environmental,t_caso4,HWSD topsoil CASO4,Harmonized World Soil Database topsoil CASO4 (% weight),current,current,yes
env.hwsd.t_cecsoil,environmental,t_cecsoil,HWSD topsoil CECsoil,Harmonized World Soil Database topsoil CECsoil (cmol/kg),current,current,yes
spat.svd.pc1,spatial,pc1,PC Axis 1 of Distance Matrix,PC Axis 1 of Distance Matrix spatial,current,current,no
spat.svd.pc2,spatial,pc2,PC Axis 2 of Distance Matrix,PC Axis 2 of Distance Matrix spatial,current,current,no
spat.svd.pc3,spatial,pc3,PC Axis 3 of Distance Matrix,PC Axis 3 of Distance Matrix spatial,current,current,no
