LayerName,FilterType,typeCode,TypeCodeDescription,LayerDescription,ProjectionDate,RCP
clim.he2650.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP26 2050,2050,26
clim.he2650.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP26 2050,2050,26
clim.he2650.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP26 2050,2050,26
clim.he2650.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP26 2050,2050,26
clim.he2650.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP26 2050,2050,26
clim.he2670.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP26 2070,2070,26
clim.he2670.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP26 2070,2070,26
clim.he2670.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP26 2070,2070,26
clim.he2670.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP26 2070,2070,26
clim.he2670.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP26 2070,2070,26
clim.he2670.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP26 2070,2070,26
clim.he2670.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP26 2070,2070,26
clim.he2670.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP26 2070,2070,26
clim.he2670.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP26 2070,2070,26
clim.he2670.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP26 2070,2070,26
clim.he2670.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP26 2070,2070,26
clim.he2670.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP26 2070,2070,26
clim.he2670.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP26 2070,2070,26
clim.he2670.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP26 2070,2070,26
clim.he2670.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP26 2070,2070,26
clim.he2670.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP26 2070,2070,26
clim.he2670.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP26 2070,2070,26
clim.he2670.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP26 2070,2070,26
clim.he2670.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP26 2070,2070,26
clim.he4550.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP45 2050,2050,45
clim.he4550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP45 2050,2050,45
clim.he4550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP45 2050,2050,45
clim.he4550.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP45 2050,2050,45
clim.he4550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP45 2050,2050,45
clim.he4550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP45 2050,2050,45
clim.he4550.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP45 2050,2050,45
clim.he4550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP45 2050,2050,45
clim.he4550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP45 2050,2050,45
clim.he4550.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP45 2050,2050,45
clim.he4550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP45 2050,2050,45
clim.he4550.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP45 2050,2050,45
clim.he4550.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP45 2050,2050,45
clim.he4550.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP45 2050,2050,45
clim.he4550.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP45 2050,2050,45
clim.he4550.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP45 2050,2050,45
clim.he4550.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP45 2050,2050,45
clim.he4550.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP45 2050,2050,45
clim.he4550.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP45 2050,2050,45
clim.he4570.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP45 2070,2070,45
clim.he4570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP45 2070,2070,45
clim.he4570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP45 2070,2070,45
clim.he4570.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP45 2070,2070,45
clim.he4570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP45 2070,2070,45
clim.he4570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP45 2070,2070,45
clim.he4570.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP45 2070,2070,45
clim.he4570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP45 2070,2070,45
clim.he4570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP45 2070,2070,45
clim.he4570.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP45 2070,2070,45
clim.he4570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP45 2070,2070,45
clim.he4570.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP45 2070,2070,45
clim.he4570.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP45 2070,2070,45
clim.he4570.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP45 2070,2070,45
clim.he4570.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP45 2070,2070,45
clim.he4570.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP45 2070,2070,45
clim.he4570.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP45 2070,2070,45
clim.he4570.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP45 2070,2070,45
clim.he4570.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP45 2070,2070,45
clim.he6050.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP60 2050,2050,60
clim.he6050.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP60 2050,2050,60
clim.he6050.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP60 2050,2050,60
clim.he6050.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP60 2050,2050,60
clim.he6050.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP60 2050,2050,60
clim.he6050.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP60 2050,2050,60
clim.he6050.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP60 2050,2050,60
clim.he6050.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP60 2050,2050,60
clim.he6050.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP60 2050,2050,60
clim.he6050.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP60 2050,2050,60
clim.he6050.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP60 2050,2050,60
clim.he6050.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP60 2050,2050,60
clim.he6050.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP60 2050,2050,60
clim.he6050.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP60 2050,2050,60
clim.he6050.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP60 2050,2050,60
clim.he6050.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP60 2050,2050,60
clim.he6050.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP60 2050,2050,60
clim.he6050.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP60 2050,2050,60
clim.he6050.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP60 2050,2050,60
clim.he6070.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP60 2070,2070,60
clim.he6070.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP60 2070,2070,60
clim.he6070.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP60 2070,2070,60
clim.he6070.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP60 2070,2070,60
clim.he6070.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP60 2070,2070,60
clim.he6070.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP60 2070,2070,60
clim.he6070.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP60 2070,2070,60
clim.he6070.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP60 2070,2070,60
clim.he6070.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP60 2070,2070,60
clim.he6070.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP60 2070,2070,60
clim.he6070.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP60 2070,2070,60
clim.he6070.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP60 2070,2070,60
clim.he6070.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP60 2070,2070,60
clim.he6070.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP60 2070,2070,60
clim.he6070.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP60 2070,2070,60
clim.he6070.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP60 2070,2070,60
clim.he6070.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP60 2070,2070,60
clim.he6070.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP60 2070,2070,60
clim.he6070.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP60 2070,2070,60
clim.he8550.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP85 2050,2050,85
clim.he8550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP85 2050,2050,85
clim.he8550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP85 2050,2050,85
clim.he8550.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP85 2050,2050,85
clim.he8550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP85 2050,2050,85
clim.he8550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP85 2050,2050,85
clim.he8550.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP85 2050,2050,85
clim.he8550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP85 2050,2050,85
clim.he8550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP85 2050,2050,85
clim.he8550.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP85 2050,2050,85
clim.he8550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP85 2050,2050,85
clim.he8550.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP85 2050,2050,85
clim.he8550.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP85 2050,2050,85
clim.he8550.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP85 2050,2050,85
clim.he8550.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP85 2050,2050,85
clim.he8550.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP85 2050,2050,85
clim.he8550.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP85 2050,2050,85
clim.he8550.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP85 2050,2050,85
clim.he8550.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP85 2050,2050,85
clim.he8570.bio1,climate,bio01,Annual Mean Temperature,Annual Mean Temperature HE RCP85 2070,2070,85
clim.he8570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP85 2070,2070,85
clim.he8570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP85 2070,2070,85
clim.he8570.bio12,climate,bio12,Annual Precipitation,Annual Precipitation HE RCP85 2070,2070,85
clim.he8570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP85 2070,2070,85
clim.he8570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP85 2070,2070,85
clim.he8570.bio15,climate,bio15,Precipitation Seasonality (Coefficient of Variation),Precipitation Seasonality (Coefficient of Variation) HE RCP85 2070,2070,85
clim.he8570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP85 2070,2070,85
clim.he8570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP85 2070,2070,85
clim.he8570.bio18,climate,bio18,Precipitation of Warmest Quarter,Precipitation of Warmest Quarter HE RCP85 2070,2070,85
clim.he8570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP85 2070,2070,85
clim.he8570.bio2,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP85 2070,2070,85
clim.he8570.bio3,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP85 2070,2070,85
clim.he8570.bio4,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP85 2070,2070,85
clim.he8570.bio5,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP85 2070,2070,85
clim.he8570.bio6,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP85 2070,2070,85
clim.he8570.bio7,climate,bio07,Temperature Annual Range (BIO5-BIO6),Temperature Annual Range (BIO5-BIO6) HE RCP85 2070,2070,85
clim.he8570.bio8,climate,bio08,Mean Temperature of Wettest Quarter,Mean Temperature of Wettest Quarter HE RCP85 2070,2070,85
clim.he8570.bio9,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP85 2070,2070,85
env.gmted2010.elev_mean,environmental,elev_mean,USGS GMTED2010 Mean Elevation,USGS GMTED2010 Mean Elevation,current,current
env.hwsd.t_caco3,environmental,t_caco3,HWSD topsoil CACO3,Harmonized World Soil Database topsoil CACO3 (% weight),current,current
env.hwsd.t_caso4,environmental,t_caso4,HWSD topsoil CASO4,Harmonized World Soil Database topsoil CASO4 (% weight),current,current
env.hwsd.t_cecsoil,environmental,t_cecsoil,HWSD topsoil CECsoil,Harmonized World Soil Database topsoil CECsoil (cmol/kg),current,current
env.hwsd.t_clay,environmental,t_clay,HWSD topsoil clay,Harmonized World Soil Database topsoil clay (% frac.),current,current
env.hwsd.t_ece,environmental,t_ece,HWSD topsoil ECE,Harmonized World Soil Database topsoil ECE (salinity dS/m),current,current
env.hwsd.t_gravel,environmental,t_gravel,HWSD topsoil gravel,Harmonized World Soil Database topsoil gravel (% vol.),current,current
env.hwsd.t_oc,environmental,t_oc,HWSD topsoil oc,Harmonized World Soil Database topsoil organic carbon (% weight),current,current
env.hwsd.t_ph,environmental,t_ph,HWSD topsoil pH,Harmonized World Soil Database topsoil pH (log[H+]),current,current
env.hwsd.t_sand,environmental,t_sand,HWSD topsoil sand,Harmonized World Soil Database topsoil sand (% frac.),current,current
env.hwsd.t_silt,environmental,t_silt,HWSD topsoil silt,Harmonized World Soil Database topsoil silt (% frac.),current,current
spat.dist.pc1,spatial,pc1,PC Axis 1 of Distance Matrix,PC Axis 1 of Distance Matrix spatial,current,current
spat.dist.pc2,spatial,pc2,PC Axis 2 of Distance Matrix,PC Axis 2 of Distance Matrix spatial,current,current
spat.dist.pc3,spatial,pc3,PC Axis 3 of Distance Matrix,PC Axis 3 of Distance Matrix spatial,current,current
